,Unnamed: 0,id,raw_text,mentions_location,text,relevant,mentions_impact,tokens,locations
12,30,902146590890184708,"@magdarasmusson @oisincantwell Ja just det, översvämningar är ju ett helt nytt fenomen som var helt okänt före industrialiseringen.",0,yes exactly floods completely new phenomenon completely unknown industrialization,1,0,[],{}
13,32,902133660949807108,Stormen Harvey har tvingat raffinaderier i Texas att stänga på grund av hot om översvämningar https://t.co/IwLXlso0dW https://t.co/aKG76BHdPW,0,storm harvey forced texas refineries close flooding threat,1,1,"[{'entity': 'EVN', 'score': 0.9055636, 'index': 3, 'word': 'Harvey', 'start': 8, 'end': 14}, {'entity': 'LOC', 'score': 0.9993339, 'index': 9, 'word': 'Texas', 'start': 43, 'end': 48}]","{'Texas': {'ner_score': 0.9993339, 'swedish_loc_info': {}}}"
14,34,902127360652267520,Nu när översvämningar är i ropet tänker jag på Sri Lanka där 100-tals människor dör varje år i massiva översvämningar.,0,now floods news i think sri lanka people die year massive floods,1,1,"[{'entity': 'TME', 'score': 0.99972326, 'index': 1, 'word': 'Nu', 'start': 0, 'end': 2}, {'entity': 'LOC', 'score': 0.99954575, 'index': 11, 'word': 'Sri', 'start': 47, 'end': 50}, {'entity': 'LOC', 'score': 0.9994673, 'index': 12, 'word': 'Lanka', 'start': 51, 'end': 56}, {'entity': 'TME', 'score': 0.9996861, 'index': 19, 'word': 'varje', 'start': 84, 'end': 89}, {'entity': 'TME', 'score': 0.9996581, 'index': 20, 'word': 'år', 'start': 90, 'end': 92}]","{'Sri': {'ner_score': 0.99954575, 'swedish_loc_info': {}}, 'Lanka': {'ner_score': 0.9994673, 'swedish_loc_info': {}}}"
15,35,902126449221672961,"Sköna översvämningar i Houston nu, båtar på gatorna. Direktrapportering https://t.co/HCP1U1nhLY",0,beautiful flooding houston now boats streets live reporting,1,0,"[{'entity': 'LOC', 'score': 0.99956304, 'index': 4, 'word': 'Houston', 'start': 23, 'end': 30}, {'entity': 'TME', 'score': 0.99798167, 'index': 5, 'word': 'nu', 'start': 31, 'end': 33}]","{'Houston': {'ner_score': 0.99956304, 'swedish_loc_info': {}}}"
16,36,902124699051839488,Oväder står Hongkong dyrt - nu lanseras tyfonförsäkring Av @johannylander https://t.co/6cQc16DedE,0,storms cost hong kong dear  typhoon insurance launched by,1,0,"[{'entity': 'LOC', 'score': 0.99942964, 'index': 4, 'word': 'Hongkong', 'start': 12, 'end': 20}]","{'Hongkong': {'ner_score': 0.99942964, 'swedish_loc_info': {}}}"
17,38,902120974522441728,Omdirigerade flyg och översvämningar i åskovädrets spår #CostaDelSol https://t.co/ynZiv9Etfo https://t.co/YaC3sgOYp3,0,diverted flights flooding track thunderstorms costadelsol,1,1,[],{}
18,39,902096860541804544,"-&gt; Men ska vi undvika översvämningar ska vi undvika allt för hårdgjorda ytor och inte skicka allt dagvatten i rör -&gt; Träd, grönytor, parker.",0,gt but want avoid floods avoid hard surfaces send stormwater pipes gt trees green areas parks,1,0,[],{}
19,40,902095845755117568,Frivilliga drar stor lass efter översvämning är Egots illusion+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,0,volunteers pulling big load flood egos illusion,1,0,[],{}
20,42,902090491742867457,Risk för stora översvämningar idag - Sydkusten.es https://t.co/sDzoQBl9xv,0,risk major floods today  sydkustenes,1,0,"[{'entity': 'TME', 'score': 0.99944216, 'index': 5, 'word': 'idag', 'start': 30, 'end': 34}, {'entity': 'LOC', 'score': 0.9974517, 'index': 7, 'word': 'Sydkusten', 'start': 37, 'end': 40}]","{'Sydkusten': {'ner_score': 0.9974517, 'swedish_loc_info': {}}}"
21,43,902089371737837568,Regnet fortsätter att ösa ned i översvämmat Texas: https://t.co/osELuZtuex #harvey #texas #väder #storm #översvämning,0,rain continues pour flooded texas harvey texas weather storm flooding,1,0,"[{'entity': 'LOC', 'score': 0.9990483, 'index': 11, 'word': 'Texas', 'start': 44, 'end': 49}]","{'Texas': {'ner_score': 0.9990483, 'swedish_loc_info': {}}}"
22,44,902087554614353920,"@lind_ake @kimandlin @Malena_Ernman Det handlar om katastrofala översvämningar, med klimatförändringarna som orsak. https://t.co/HOMqU1dFbp",0,its catastrophic floods climate change cause,1,0,[],{}
23,45,902087117081374720,Saftig nota för oväder - tyfonen slår hårt mot Hongkongs ekonomi https://t.co/5pgD4nbOOr https://t.co/RRsLNRbnKu,0,juicy note storm  typhoon hits hong kongs economy hard,1,1,"[{'entity': 'LOC', 'score': 0.99907386, 'index': 15, 'word': 'Hongkongs', 'start': 47, 'end': 55}]","{'Hongkongs': {'ner_score': 0.99907386, 'swedish_loc_info': {}}}"
24,47,902086048649551872,@bassesbasta Jag undrar hur illa de på en global skala egentligen har det? Jmf. med stormar i Västindien eller översvämningar i Bangladesh? &gt;,0,i wonder bad global scale are cf storms west indies floods bangladesh gt,1,0,"[{'entity': 'LOC', 'score': 0.9993674, 'index': 21, 'word': 'Västindien', 'start': 83, 'end': 93}, {'entity': 'LOC', 'score': 0.9994356, 'index': 25, 'word': 'Bangladesh', 'start': 117, 'end': 127}]","{'Västindien': {'ner_score': 0.9993674, 'swedish_loc_info': {}}, 'Bangladesh': {'ner_score': 0.9994356, 'swedish_loc_info': {}}}"
25,48,902084420898840576,"@MagnusCarlbring @kimandlin @Malena_Ernman Nej skyfall och översvämningar ökar inte , har läst IPCCs Special Report SREX från 2013 se kap 3 "" observed climate change"" De tar upp detta",0,no torrential rains floods increasing read ipccs special report srex chapter observed climate change they address,1,0,"[{'entity': 'WRK', 'score': 0.6003588, 'index': 11, 'word': 'IPCCs', 'start': 58, 'end': 60}, {'entity': 'WRK', 'score': 0.9862795, 'index': 14, 'word': 'Special', 'start': 64, 'end': 71}, {'entity': 'WRK', 'score': 0.9929263, 'index': 15, 'word': 'Report', 'start': 72, 'end': 78}, {'entity': 'WRK', 'score': 0.9936352, 'index': 16, 'word': 'SREX', 'start': 79, 'end': 81}, {'entity': 'TME', 'score': 0.9995301, 'index': 18, 'word': 'från', 'start': 84, 'end': 88}, {'entity': 'TME', 'score': 0.99957055, 'index': 19, 'word': '2013', 'start': 89, 'end': 93}]",{}
26,49,902080926389338112,@MagnusCarlbring @kimandlin @Malena_Ernman Så översvämning nu är inte en enstaka väderhändelse då ?,0,so flooding weather event then,1,0,[],{}
27,50,902074798087573504,@Nymne Vi hade översvämning med en halv meter vatten i källaren när vi bott i huset några år. Det är inte roligt - ens om man är oskadd.,0,we flooding half meter water basement lived house years its fun  youre unharmed,1,1,"[{'entity': 'MSR', 'score': 0.9939388, 'index': 6, 'word': 'en', 'start': 27, 'end': 29}, {'entity': 'MSR', 'score': 0.99725455, 'index': 7, 'word': 'halv', 'start': 30, 'end': 34}, {'entity': 'MSR', 'score': 0.9914028, 'index': 8, 'word': 'meter', 'start': 35, 'end': 40}, {'entity': 'TME', 'score': 0.9995505, 'index': 17, 'word': 'några', 'start': 79, 'end': 84}, {'entity': 'TME', 'score': 0.9995414, 'index': 18, 'word': 'år', 'start': 85, 'end': 87}]",{}
28,51,902074108376223744,"""Frivilliga drar stort lass efter översvämning"" Houston https://t.co/vqwv2Wm7LC",0,volunteers pull big load flood houston,1,0,"[{'entity': 'LOC', 'score': 0.9946367, 'index': 11, 'word': 'Houston', 'start': 48, 'end': 55}]","{'Houston': {'ner_score': 0.9946367, 'swedish_loc_info': {}}}"
29,52,902070068279947265,En halv miljon människor har evakuerats från sina hem pga översvämningar i Nepal. Stöd vår insamling! https://t.co/hACNzsbMzp,0,half million people evacuated homes floods nepal support fundraiser,1,1,"[{'entity': 'LOC', 'score': 0.9983015, 'index': 14, 'word': 'Nepal', 'start': 75, 'end': 80}]","{'Nepal': {'ner_score': 0.9983015, 'swedish_loc_info': {}}}"
30,53,902069800804995076,Frivilliga drar stort lass efter översvämning https://t.co/Dp5Zyn4nng,0,volunteers pull big load flood,1,0,[],{}
31,54,902066571430035456,Totalförstörelse och översvämning i Harveys spår - minst fem döda https://t.co/rrS5cTiylO,0,destruction flooding harveys wake  dead,1,1,"[{'entity': 'PER', 'score': 0.99986994, 'index': 8, 'word': 'Harveys', 'start': 36, 'end': 42}]",{}
32,55,902065728324591616,"Har ni hört att det är översvämning i Houston? Annars berättar #morgonstudion det var femte minut, utan fördjupning. #svt",0,have heard flooding houston otherwise morgonstudion tells minutes elaboration svt,1,0,"[{'entity': 'LOC', 'score': 0.9993656, 'index': 10, 'word': 'Houston', 'start': 38, 'end': 45}, {'entity': 'MSR', 'score': 0.948811, 'index': 18, 'word': 'var', 'start': 82, 'end': 85}, {'entity': 'MSR', 'score': 0.98521346, 'index': 19, 'word': 'femte', 'start': 86, 'end': 91}, {'entity': 'MSR', 'score': 0.9505616, 'index': 20, 'word': 'minut', 'start': 92, 'end': 97}]","{'Houston': {'ner_score': 0.9993656, 'swedish_loc_info': {}}}"
33,56,902058963147083776,Översvämning i Texas och alla andra nyheter får stå tillbaka. @svtnyheter varför är inte guldmedaljören på plats. https://t.co/w8Na8E84QS,0,flooding texas news left behind isnt gold medalist there,1,0,"[{'entity': 'LOC', 'score': 0.9993274, 'index': 5, 'word': 'Texas', 'start': 15, 'end': 20}]","{'Texas': {'ner_score': 0.9993274, 'swedish_loc_info': {}}}"
34,57,902052364831641600,Varför åker Trump till Texas? Klimatförändringar med allt värre oväder finns ju inte i Vita huset. https://t.co/w36Y32c2ab,0,why trump going texas climate change increasingly worse storms exist white house,1,0,"[{'entity': 'PER', 'score': 0.99881965, 'index': 3, 'word': 'Trump', 'start': 12, 'end': 17}, {'entity': 'LOC', 'score': 0.99964046, 'index': 5, 'word': 'Texas', 'start': 23, 'end': 28}, {'entity': 'LOC', 'score': 0.9990017, 'index': 17, 'word': 'Vita', 'start': 87, 'end': 91}, {'entity': 'LOC', 'score': 0.9986091, 'index': 18, 'word': 'huset', 'start': 92, 'end': 97}]","{'Texas': {'ner_score': 0.99964046, 'swedish_loc_info': {}}, 'Vita': {'ner_score': 0.9990017, 'swedish_loc_info': {'place_id': 19718459, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 2235762052, 'boundingbox': ['65.9068121', '65.9468121', '22.4066368', '22.4466368'], 'lat': '65.9268121', 'lon': '22.4266368', 'display_name': 'Vitå, Luleå kommun, Norrbotten County, Sweden', 'class': 'place', 'type': 'village', 'importance': 0.275, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_village.p.20.png', 'extratags': {'ref:se:pts:postort': 'VITÅ'}}}, 'huset': {'ner_score': 0.9986091, 'swedish_loc_info': {'place_id': 78136336, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 7442669496, 'boundingbox': ['58.523391', '58.563391', '11.458889', '11.498889'], 'lat': '58.543391', 'lon': '11.478889', 'display_name': 'Huset, Tanums kommun, Västra Götaland County, 457 43, Sweden', 'class': 'place', 'type': 'hamlet', 'importance': 0.35, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_village.p.20.png', 'extratags': {}}}}"
35,58,902051516567232512,Miljontals hemlösa i värsta monsunregnen på åratal: https://t.co/Qgo4fs6hJL Översvämningar i Houston utan motstycke: https://t.co/TwdjZqUDE3,0,millions homeless worst monsoon rains years unprecedented flooding houston,1,1,"[{'entity': 'LOC', 'score': 0.9995802, 'index': 16, 'word': 'Houston', 'start': 71, 'end': 78}]","{'Houston': {'ner_score': 0.9995802, 'swedish_loc_info': {}}}"
36,59,902047043954384896,Texas upplever just nu sin värsta översvämning någonsin. Till de som fortfarande förnekar vad som behöver göras: https://t.co/2zwojhIBpv,0,texas currently experiencing worst flooding ever to denial needs done,1,1,"[{'entity': 'LOC', 'score': 0.99959236, 'index': 1, 'word': 'Texas', 'start': 0, 'end': 5}]","{'Texas': {'ner_score': 0.99959236, 'swedish_loc_info': {}}}"
37,61,902041745256415232,Nu hotas 10 oljeraffinaderier i Texas av översvämning. Kan detta påverka klimatförnekarna i USA? https://t.co/rizwu7EyRV,0,now oil refineries texas threatened flooding could affect climate deniers us,1,1,"[{'entity': 'TME', 'score': 0.9997011, 'index': 1, 'word': 'Nu', 'start': 0, 'end': 2}, {'entity': 'LOC', 'score': 0.99904984, 'index': 9, 'word': 'Texas', 'start': 32, 'end': 37}, {'entity': 'LOC', 'score': 0.9962631, 'index': 22, 'word': 'USA', 'start': 92, 'end': 95}]","{'Texas': {'ner_score': 0.99904984, 'swedish_loc_info': {}}, 'USA': {'ner_score': 0.9962631, 'swedish_loc_info': {}}}"
38,63,902030202154438661,"Houston
We've got a problem...

Nu pratar de om faran med alligatorer o ormar som kan komma fram i o m översvämningar. Hemskt!
#Texas",0,houston weve got problem now talking danger alligators snakes emerge floods terrible texas,1,0,"[{'entity': 'LOC', 'score': 0.9742261, 'index': 1, 'word': 'Houston', 'start': 0, 'end': 7}, {'entity': 'TME', 'score': 0.9995733, 'index': 11, 'word': 'Nu', 'start': 32, 'end': 34}, {'entity': 'LOC', 'score': 0.99844116, 'index': 36, 'word': 'Texas', 'start': 128, 'end': 133}]","{'Houston': {'ner_score': 0.9742261, 'swedish_loc_info': {}}, 'Texas': {'ner_score': 0.99844116, 'swedish_loc_info': {}}}"
39,64,902024692185403392,@entropi @svtnyheter 1994 var det översvämning i Värnamo. 5 min inslag med vatten i källaren. Nästa var om Bangladesh 10 s. 1/3 av landet översvämmat.,1,flood värnamo min feature water basement next bangladesh p  country flooded,1,1,"[{'entity': 'LOC', 'score': 0.99932444, 'index': 7, 'word': 'Värnamo', 'start': 32, 'end': 39}, {'entity': 'LOC', 'score': 0.99849796, 'index': 20, 'word': 'Bangladesh', 'start': 90, 'end': 100}]","{'Värnamo': {'ner_score': 0.99932444, 'swedish_loc_info': {'place_id': 152023, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 30146159, 'boundingbox': ['57.144902', '57.224902', '14.0010977', '14.0810977'], 'lat': '57.184902', 'lon': '14.0410977', 'display_name': 'Värnamo, Värnamo kommun, Jönköping County, 331 30, Sweden', 'class': 'place', 'type': 'town', 'importance': 0.5567426978414242, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_place_town.p.20.png', 'extratags': {'wikidata': 'Q54771', 'wikipedia': 'sv:Värnamo', 'population': '19778', 'ref:se:scb': '1732', 'population:date': '2020-12-31', 'ref:se:pts:postort': 'VÄRNAMO'}}}, 'Bangladesh': {'ner_score': 0.99849796, 'swedish_loc_info': {}}}"
40,66,901963564943941632,Översvämningar kan ge stora skador https://t.co/nbloWpeQDD https://t.co/tnfWO7byoc,0,flooding cause major damage,1,0,[],{}
41,67,901951938069188609,Översvämningar och störtfloder skapar förödelse i Harveys spår - Göteborgs-Posten https://t.co/CHt8XOEgoi,0,floods flash floods create havoc harveys wake  göteborgsposten,1,0,"[{'entity': 'PER', 'score': 0.9983352, 'index': 12, 'word': 'Harveys', 'start': 50, 'end': 56}, {'entity': 'WRK', 'score': 0.99895775, 'index': 16, 'word': 'Göteborgs', 'start': 65, 'end': 74}, {'entity': 'WRK', 'score': 0.99907035, 'index': 17, 'word': '-', 'start': 74, 'end': 75}, {'entity': 'WRK', 'score': 0.99921644, 'index': 18, 'word': 'Posten', 'start': 75, 'end': 81}]",{}
42,69,901928500931768321,"@saltis99 Översvämningar lamslår – utökar katastroftillstånd 
https://t.co/LeysQPQVaK",0,flooding paralyzes  extends state emergency,1,0,[],{}
43,70,901909010760306693,Svensk public service levererar perspektiv på händelserna. Trots tragiken har nog världen skådat värre översvämningar. Faktiskt. https://t.co/Eo3cB3PrBo,0,swedish public service delivers perspective events despite tragedy world probably seen worse floods actually,1,0,[],{}
44,72,901901750919102464,"Jäklar, vilken stormflod! https://t.co/Qa1Pr6jRzW",0,damn storm surge,1,0,[],{}
45,73,901896955835682816,"Expressen: JUST NU: Minst fem döda i stormen Harvey i USA • Totalförstörelse och översvämning.
… https://t.co/Xd67JMicm8",0,expressen just now at dead storm harvey usa • total destruction flooding …,1,1,"[{'entity': 'WRK', 'score': 0.99901915, 'index': 1, 'word': 'Expressen', 'start': 0, 'end': 9}, {'entity': 'PER', 'score': 0.5891478, 'index': 12, 'word': 'Harvey', 'start': 45, 'end': 51}, {'entity': 'LOC', 'score': 0.99845433, 'index': 14, 'word': 'USA', 'start': 54, 'end': 57}]","{'USA': {'ner_score': 0.99845433, 'swedish_loc_info': {}}}"
46,74,901895859562061825,Liten översvämning. https://t.co/BqhPk4r9fB,0,small flood,1,0,[],{}
47,75,901895649913970688,"JUST NU: Minst fem döda i stormen Harvey i USA • Totalförstörelse och översvämning.
https://t.co/cvg44STF2q https://t.co/CbzI9hcjtq",0,right now at dead storm harvey usa • total destruction flooding,1,1,"[{'entity': 'PER', 'score': 0.6284431, 'index': 10, 'word': 'Harvey', 'start': 34, 'end': 40}, {'entity': 'LOC', 'score': 0.9983127, 'index': 12, 'word': 'USA', 'start': 43, 'end': 46}]","{'USA': {'ner_score': 0.9983127, 'swedish_loc_info': {}}}"
48,76,901891897148534784,Strömavbrott och översvämningar efter åskoväder https://t.co/hbFvnJwbcE via @svtnyheter,0,power outages flooding thunderstorms,1,1,[],{}
49,79,901875944608206849,"Inte nog med tropiska stormar, ihållande skyfall och våldsamma översvämningar i #Texas. Tornados också. 😡 https://t.co/TPoTwmbXFl",0,not tropical storms persistent downpours violent flooding texas tornadoes too ,1,0,"[{'entity': 'LOC', 'score': 0.9987954, 'index': 15, 'word': 'Texas', 'start': 81, 'end': 86}, {'entity': 'LOC', 'score': 0.55927986, 'index': 17, 'word': 'Tornados', 'start': 88, 'end': 92}]","{'Texas': {'ner_score': 0.9987954, 'swedish_loc_info': {}}, 'Tornados': {'ner_score': 0.55927986, 'swedish_loc_info': {}}}"
50,81,901849075301195776,Det där är riktigt blött. Och lite läskigt.. https://t.co/VYzvUZ72mL,0,that wet and little scary,1,0,[],{}
51,82,901844176664440833,Strömavbrott och översvämningar efter åskoväder i Blekinge. | SVT Nyheter https://t.co/hSRvwBnXji,1,power outages floods thunderstorms blekinge  svt news,1,1,"[{'entity': 'LOC', 'score': 0.99759346, 'index': 11, 'word': 'Blekinge', 'start': 50, 'end': 58}, {'entity': 'WRK', 'score': 0.97878176, 'index': 14, 'word': 'SVT', 'start': 62, 'end': 65}, {'entity': 'WRK', 'score': 0.9969313, 'index': 15, 'word': 'Nyheter', 'start': 66, 'end': 73}]","{'Blekinge': {'ner_score': 0.99759346, 'swedish_loc_info': {'place_id': 297996300, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 54413, 'boundingbox': ['55.7466927', '56.5035055', '14.3901566', '16.2236711'], 'lat': '56.12401225', 'lon': '15.40220875187768', 'display_name': 'Blekinge County, Sweden', 'class': 'boundary', 'type': 'administrative', 'importance': 0.6189053475690024, 'icon': 'https://nominatim.openstreetmap.org/ui/mapicons/poi_boundary_administrative.p.20.png', 'extratags': {'ref:fips': 'SW02', 'ref:nuts': 'SE221', 'wikidata': 'Q102377', 'wikipedia': 'sv:Blekinge län', 'ref:nuts:3': 'SE221', 'ref:se:scb': '10'}}}}"
52,84,901843248922198016,"LIVE: Flera döda i översvämningar till följd av #Harvey i USA. Akut läge, människor uppmanas klättra upp på hustaken https://t.co/diisZ43xCQ",0,live several dead floods result harvey us state emergency people urged climb rooftops,1,0,"[{'entity': 'PER', 'score': 0.9680434, 'index': 11, 'word': '#', 'start': 48, 'end': 49}, {'entity': 'PER', 'score': 0.97121114, 'index': 12, 'word': 'Harvey', 'start': 49, 'end': 55}, {'entity': 'LOC', 'score': 0.99687815, 'index': 14, 'word': 'USA', 'start': 58, 'end': 61}]","{'USA': {'ner_score': 0.99687815, 'swedish_loc_info': {}}}"
53,85,901843248796356608,"LIVE: Flera döda i översvämningar till följd av #Harvey i USA. Akut läge, människor uppmanas klättra upp på hustaken https://t.co/sFcdZOizpz",0,live several dead floods result harvey us state emergency people urged climb rooftops,1,0,"[{'entity': 'PER', 'score': 0.9680434, 'index': 11, 'word': '#', 'start': 48, 'end': 49}, {'entity': 'PER', 'score': 0.97121114, 'index': 12, 'word': 'Harvey', 'start': 49, 'end': 55}, {'entity': 'LOC', 'score': 0.99687815, 'index': 14, 'word': 'USA', 'start': 58, 'end': 61}]","{'USA': {'ner_score': 0.99687815, 'swedish_loc_info': {}}}"
54,88,901826628308885506,Strömavbrott och översvämningar efter åskoväder https://t.co/wHrmfbGkrD,0,power outages flooding thunderstorms,1,1,[],{}
55,89,901823590185799680,Undra om de 2 senatorer o 7 ledamöter i rep huset från Texas är nöjda med sina röstningar att lägga ner stödet mot översvämningar? https://t.co/uHJ250EZvy,0,wonder senators members rep house texas happy votes drop aid floods,1,0,"[{'entity': 'LOC', 'score': 0.99895704, 'index': 15, 'word': 'Texas', 'start': 55, 'end': 60}]","{'Texas': {'ner_score': 0.99895704, 'swedish_loc_info': {}}}"
56,90,901821127898619905,"Volati rapport var ju lite sur, delvis pga torr sommar f Corroventa även om @PGWahlen sa att 7/10 somrar bjudit på översvämningar, go west😜👇 https://t.co/4J7kiSgzxJ",0,volatis report bit sour partly dry summer f corroventa said  summers offered floods west,1,0,"[{'entity': 'PER', 'score': 0.8598612, 'index': 1, 'word': 'Volati', 'start': 0, 'end': 3}]",{}
