id,Text mainly in Swedish,On Topic,Informative/relevant/non sarcastic,Contains specific information about IMPACTS
1421495744700329984,1,0,0,,
1421494290539290627,1,1,0,,
1421493950490218501,1,1,0,,
1421491605370986508,1,1,0,,
1421466531096039424,1,0,0,,
1421462632062767106,1,0,0,,
1421449547742601221,1,0,0,,
1421448153111334918,1,1,0,,
1421442668488441856,1,1,0,,
1421434433815601156,1,1,1,,
1421415254068797446,1,1,0,,
1421413131222388743,1,0,0,,
1421412511597965314,1,1,0,,
1421406276555321345,1,0,0,,
1421405731375439874,1,0,0,,
1421405663381671936,1,1,0,,
1421400342605008897,1,0,0,,
1421397742832783361,1,1,0,,
1421394789132611585,1,0,0,,
1421388463773990920,0,0,0,,
1421387703418081283,1,1,0,,
1421383300615114752,1,0,0,,
1421382963804114945,1,0,0,,
1421381143312707585,1,1,1,,
1421377841334194176,1,0,0,,
1421377253196406786,1,1,0,,
1421370768026390529,1,1,0,,
1421365102045958149,1,0,0,,
1421357886098362369,1,1,0,,
1421344142030934021,1,1,0,,
1421342711353860099,1,1,0,,
1421340731248107523,1,1,0,,
1421338419528183811,1,1,1,,
1421337765812359168,0,0,0,,
1421335868640567297,1,1,1,,
1421330523469848576,1,0,0,,
1421289591168962575,1,1,0,,
1421246386855686145,1,0,0,,
1421230635704745986,0,0,0,,
1421230073827495941,1,1,0,,
1421227395881840642,1,1,0,,
1421226814110846980,1,1,1,,
1421211170980175878,1,1,1,,
1421210256227581957,1,1,0,,
1421204851715944451,1,0,0,,
1421195585546244098,1,1,0,,
1421195213146570759,1,1,0,,
1421193490390716417,1,0,0,,
1421190589253619715,1,0,0,,
1421189317750296576,1,1,0,,
1421183248659587077,1,1,0,,
1421182558696521730,1,1,0,,
1421174225826627585,1,1,0,,
1421163993847238658,1,0,0,,
1421161381680799745,1,1,0,,
1421160352277016582,0,0,0,,
1421154383409029121,1,1,1,,
1421151478434181137,1,0,0,,
1421143336459587586,1,0,0,,
1421137875601666048,1,1,0,,
1421137725802139654,1,0,0,,
1421137715677040644,1,0,0,,
1105930773729853440,1,0,0,,
1105930338726039557,1,0,0,,
1105929630161215490,1,0,0,,
1105929017197293569,0,0,0,,
1105927206117797888,1,0,0,,
1105922383578308613,1,0,0,,
1105910203709571073,1,0,0,,
1105895027660808197,1,0,0,,
1105857136733638656,1,0,0,,
1105829450082586624,1,0,0,,
1105820851570647041,1,0,0,,
1105818788669374464,1,0,0,,
1105810525290708993,0,0,0,,
1105809567232000000,0,0,0,,
1105794508611047425,1,0,0,,
1105790897856434176,1,0,0,,
1105787898207584256,1,1,1,,
1105786445602660354,0,0,0,,
1105785727772753924,0,0,0,,
1105773518111821824,1,0,0,,
1105759845616111618,1,0,0,,
1105759151374913537,1,0,0,,
1105757209177272320,1,0,0,,
1105737753780727808,1,0,0,,
1105729914597191681,1,0,0,,
1105729774545178624,1,0,0,,
1105724537822429184,1,0,0,,
1105708157228204033,1,0,0,,
1105705717682585600,1,0,0,,
1105671870391693315,1,1,0,,
1105625029386141698,1,0,0,,
1105590032608440320,1,0,0,,
1105589091985440768,1,0,0,,
1105584450241527808,1,0,0,,
1105578721170337793,1,0,0,,
1105575921623404548,1,0,0,,
1105575847744937986,1,1,0,,
1105552811297828864,1,0,0,,
1105550514622816259,1,0,0,,
1105544178136768512,1,0,0,,
1105543747583004681,1,1,1,,
1105543077610115072,1,0,0,,
1105538580573761542,0,0,0,,
1105525618974822402,1,1,0,,
1105525123728195584,1,1,0,,
1105518226954424328,1,0,0,,
1105488058202419200,1,0,0,,
1105487212966227969,1,1,0,,
1105485227013619712,1,0,0,,
1105484813669228549,1,0,0,,
1105473209288310784,0,0,0,,
1105469973558935553,0,0,0,,
1105456947963355138,1,0,0,,
1105456419615268866,1,0,0,,
1105428239537844224,1,0,0,,
1105412003844243462,1,0,0,,
1105405792608493568,1,0,0,,
1105405718339960832,1,0,0,,
1105405324650078208,1,1,0,,
1105403036019638272,1,0,0,,
1105383771421925376,0,0,0,,
1105364005944680448,1,0,0,,
1105360560093257728,1,0,0,,
1105360151220023296,1,0,0,,
1105355709418483712,1,0,0,,
1105349769898151936,1,0,0,,
1105347554391310336,1,0,0,,
1105337873623072769,1,0,0,,
1105332308993687552,1,1,0,,
1105301339603718144,1,0,0,,
1105277529525534720,1,0,0,,
1159602476443742208,1,1,0,,
1159591882109935617,1,0,0,,
1159570076250583040,1,0,0,,
1159564740202565633,1,0,0,,
1159561112741920768,1,0,0,,
1159560224015114240,1,1,0,,
1159557219890937857,1,0,,0
1159549737718226945,1,0,0,,
1159548369200656394,1,0,0,,
1159548182277296128,1,0,0,,
1159541555247685632,0,0,0,,
1159539724853370880,1,0,0,,
1159537625591668737,1,0,0,,
1159534662261379073,1,0,0,,
1159533727506161665,1,0,0,,
1159533667485720576,1,1,1,,
1159529193039958016,1,1,0,,
1159527785376997378,1,1,1,,
1159525555303264257,1,1,0,,
1159525008970067968,1,1,0,,
1159524040639467522,1,1,0,,
1159516108015251456,1,0,0,,
1159507450560745472,1,0,0,,
1159503571769057282,1,0,0,,
1159500766358495237,0,0,0,,
1159484865773015041,1,0,0,,
1159483350396133376,0,1,0,,
1159481845303713792,1,0,0,,
1159473181981335559,1,0,0,,
1159464463810072576,1,1,0,,
1159463263068917760,1,0,0,,
1159453144293793792,1,0,0,,
1159450037182783489,0,1,1,,
1159447955507679232,1,0,0,,
1159434927437504512,0,0,0,,
1159433896863444997,1,1,0,,
1159433334637903877,0,0,0,,
1159433333551616000,0,1,0,,
1159433331475406848,0,0,0,,
1159428992287543296,1,0,0,,
1159427969552658432,1,0,0,,
1159424371372494849,0,1,0,,
1159416324352860162,1,0,0,,
1159414470449475584,1,1,0,,
1159403173393645568,0,1,0,,
1159394358635843584,0,1,0,,
1159389280084647936,1,0,0,,
1159342758915690502,1,0,0,,
1159342096177872897,1,0,0,,
1159339431565955073,1,0,0,,
1159335870232715265,1,1,0,,
1159332068813201414,1,1,0,,
1159325861063090177,0,0,0,,
1159323471056384001,0,0,0,,
1159231766533726209,1,0,0,,
1159229722221535232,1,0,0,,
1159190616049377280,1,0,0,,
1159187629386162177,0,1,0,,
1159186388270682113,1,0,0,,
1159178079534768128,0,1,0,,
1159176997530218498,0,1,0,,
1159176314034761728,1,0,0,,
1159174031259648008,1,0,0,,
1159173919468937217,1,0,0,,
1159171105669693441,0,1,1,,
1159165296353169408,1,0,0,,
1159162786414505986,1,0,0,,
1159161164351324161,1,1,0,,
1159157924524154882,1,1,0,,
1159152083339284480,1,0,0,,
1159148573000425472,1,0,0,,
1159146910080524288,1,0,0,,
1159146868833751042,1,0,0,,
1159143325435355141,0,0,0,,
1159143054147637250,1,0,0,,
1159138960129626114,1,0,0,,
1159138363385012224,1,0,0,,
1159127632925155330,1,0,0,,
1159125831446405120,1,0,0,,
1159122558274482176,1,1,0,,
1159121223873368064,1,0,0,,
1159109318395879425,1,0,0,,
1159100326961655808,1,0,0,,
1159087856163459072,1,1,0,,
1159078558628814850,1,0,0,,
1159077965424156673,1,1,0,,
1159073039629336576,1,1,0,,
1159058455216447488,1,0,0,,
1159049740732051456,1,0,0,,
1159044961096077312,1,0,0,,
1159036291473989632,1,0,0,,
1159021879849574405,1,1,0,,
1159021699540672513,1,1,0,,
1159021633430069248,1,1,0,,
1159021572218380289,1,1,0,,
1159019250406830080,1,0,0,,
1159017892169605120,1,0,0,,
1159016607315832832,0,0,0,,
1159014876850925569,1,0,0,,
1091474693050302465,1,0,0,,
1091465309104549888,1,0,0,,
1091459570961141761,1,0,0,,
1091443089363947520,1,0,0,,
1091414180035469312,1,0,0,,
1091404871461490688,1,0,0,,
1091402574194974720,1,0,0,,
1091402440392495104,1,0,0,,
1091401431914082304,1,0,0,,
1091380600454500354,1,0,0,,
1091361433898504193,1,1,0,,
1091359889715355648,1,1,0,,
1091358539900223489,1,0,0,,
1091347242018054145,1,0,0,,
1091339911591092225,1,0,0,,
1091332265232252928,1,0,0,,
1091329146465275904,1,1,0,,
1091321911160782848,1,0,0,,
1091277246856392705,1,0,0,,
1091274109659553793,0,0,0,,
1091261160098168835,1,1,1,,
1091251863381372929,1,1,1,,
1091243183827243008,1,0,0,,
1091110117473468416,1,0,0,,
1091103878970511360,1,0,0,,
1091070615241531393,1,0,0,,
1091046280468619264,1,0,0,,
1091035471541620737,1,0,0,,
1091033267174862850,1,0,0,,
1091032123698491394,0,0,0,,
1091011180653629445,1,0,0,,
1090980883564322817,1,0,0,,
1090979825370701825,1,0,0,,
1090977499046182912,1,0,0,,
1090971596871876608,0,0,0,,
1090923914790912000,0,0,0,,
1090918667020316673,1,0,0,,
1090917870857539584,1,0,0,,
1090903434394591232,0,0,0,,
1090893032063410176,0,0,0,,
1090872431886192640,1,0,0,,
1090863577282547718,1,0,0,,
1090845591230447616,0,0,0,,
1090791123398914048,1,0,0,,
893930663916732419,0,0,0,0
893924654708133888,1,0,0,0
893920088033816581,1,0,0,0
893912562882011136,1,0,0,0
893883689196769280,1,0,0,0
893870934003777537,1,0,0,0
893867572852125696,1,1,1,0
893854590176829442,1,0,0,0
893853822812119040,1,0,0,0
893843853291212801,1,0,0,0
893842973645053953,1,0,0,0
893837802735108096,1,1,1,1
893836891036037120,1,0,0,0
893832910645714944,0,0,0,0
893831017605152768,1,1,1,0
893829988448972801,0,0,0,0
893829783477338113,0,,0,0,
893816874538070016,1,0,0,0
893814155840544768,1,0,0,0
893812287538167809,1,0,0,0
893811543720284162,1,0,0,0
893809753863987200,1,0,0,0
893809211293011968,1,0,0,0
893808989842141184,1,0,0,0
893798523698782208,1,1,0,0
893796343629709312,1,0,0,0
893773475478994944,1,0,0,0
893769728195481600,0,0,0,0
893758830055739392,1,0,0,0
893751375385022464,1,0,0,0
893742894988881921,1,0,0,0
893733036466085888,1,0,0,0
893714568316420096,1,0,0,0
893594022173978631,1,0,0,0
893587530511241217,1,0,0,0
893585750448590848,1,0,0,0
893585476149555200,0,0,0,0
893585432432324610,0,0,0,0
893585417454460928,0,0,0,0
893585409770442752,0,0,0,0
893585404183576578,0,0,0,0
893585381228150784,0,0,0,0
893585341428498432,0,0,0,0
893585335292231681,0,0,0,0
893585334918946818,0,0,0,0
893585290018914304,0,0,0,0
893584469424300032,0,0,0,0
893584382723751936,0,0,0,0
893584379112456192,0,0,0,0
893584371525070851,0,0,0,0
893584340424196096,0,0,0,0
893584274288500736,0,0,0,0
893584176406048768,0,0,0,0
893584173604249600,0,0,0,0
893584169158283268,0,0,0,0
893584132151881728,0,0,0,0
893583112248193026,0,0,0,0
893577045065822210,0,0,0,0
893562240846057474,1,1,0,0
893553144218755073,1,1,1,0
893552860834746368,1,1,1,0
893542871760068611,1,0,0,0
893535225560616961,1,0,0,0
893533478901489665,1,1,1,0
893526073291493376,1,0,0,0
893522575938158593,0,0,0,0
893511702653915138,1,0,0,0
893503889986772993,1,0,0,0
893503260056834048,1,1,1,0
893500052596862976,1,1,0,1
893489314914459651,1,1,1,0
893487432624209920,1,1,0,1
893482866151231488,1,1,0,0
893475559224877056,1,0,0,0
893469452553113600,1,0,0,0
893469158045863936,1,0,0,0
893467853218656258,1,1,1,1
893463404366766081,1,0,0,0
893451329833750528,1,0,0,0
893450280855113728,1,0,0,0
893438380972945409,1,1,0,1
893438223317442564,1,1,0,0
893404863513722881,1,0,0,0
893404755497803776,1,0,0,0
893397226218762240,0,0,0,0
893393976937656320,1,0,0,0
893393481602826240,1,1,0,1
893390880526262273,1,1,0,1
893390350592561153,1,1,0,1
893386891919319040,1,1,1,0
893385509795266560,1,1,1,1
893385139920797696,1,1,0,0
893383605795336192,1,1,0,0
893382892121989124,1,1,0,0
893381663572602880,1,1,0,0
893380531320172545,1,0,0,0
893380294128095232,1,1,1,1
893379792594231296,1,1,1,1
893376423037153280,1,0,0,0
893374254330167296,1,1,0,0
1028411481975611392,1,0,0,,
1028405310069846017,1,1,0,,
1028401317612584960,1,0,0,,
1028398381658460161,1,0,0,,
1028395622834073600,1,1,0,,
1028390490838851585,0,0,0,,
1028387614246821888,1,1,0,,
1028384157142077440,0,0,0,,
1028380019599532032,1,0,0,,
1028379538609397761,1,0,0,,
1028378858297405445,1,1,0,,
1028377553659195392,1,1,0,,
1028372146974846977,1,1,1,,
1028371250488528897,1,0,0,,
1028366613849022469,1,0,0,,
1028356999828987904,1,0,0,,
1028356326370496512,1,0,0,,
1028349421359120384,1,1,0,,
1028348413555953665,1,1,0,,
1028346381877096450,1,0,0,,
1028345323440295937,1,1,1,,
1028343660881039361,1,0,0,,
1028341601230376962,1,0,0,,
1028335839380729857,1,1,1,,
1028328145676587008,1,0,0,,
1028326047115296770,1,1,0,,
1028324911977246720,1,1,0,,
1028311923635482625,1,0,0,,
1028311057595547648,1,1,1,,
1028305826396741634,1,1,0,,
1028303875831418880,0,1,0,,
1028300999201644544,1,1,0,,
1028299308330876929,1,1,1,,
1028287733737902080,1,1,1,,
1028283652973776897,1,1,1,,
1028282541797724176,1,0,0,,
1028272566492966913,1,1,0,,
1028265637301366784,1,0,0,,
1028255328587198464,1,0,0,,
1028255255631417350,1,0,0,,
1028251785570525184,1,0,0,,
1028248311243960320,1,0,0,,
1028245870343540736,1,1,1,,
1028242352136249344,0,0,0,,
1028240484580433921,0,0,0,,
1028239724257992704,0,0,0,,
1028237840117846016,1,0,0,,
1028235806018813952,1,0,0,,
1028232877891350530,1,1,0,,
1028231653200719873,1,0,0,,
1028229402528768002,1,0,0,,
1028227804872302592,1,1,1,,
1028227787541360640,1,0,0,,
1028226048733921281,0,0,0,,
1028225396553277441,1,0,0,,
1028221591052865538,1,0,0,,
1028221124440678402,1,0,0,,
1028220286695559168,1,1,0,,
1028219770179670020,1,1,0,,
1028212173301010433,1,0,0,,
1028202247925194752,1,0,0,,
1028195835446734849,1,1,0,,
1028191027797086208,1,0,0,,
1028188123791024128,0,0,0,,
1028187238302142464,0,0,0,,
1028178616100761601,1,0,0,,
1028177753902858240,1,0,0,,
1028171106870611969,1,0,0,,
1028166312093249537,1,1,1,,
1028157401210531840,0,0,0,,
1028156800040722433,1,0,0,,
1028131879394992128,0,0,0,,
1028085413410484224,1,0,0,,
1028073974750748672,0,0,0,,
1028073973110763520,0,0,0,,
1028036419078500354,1,0,0,,
1028023353494388737,1,0,0,,
1028015285440274432,0,0,0,,
1028011676937986051,0,0,0,,
1028010314531524610,1,1,0,,
1028009124431319040,1,0,0,,
1028001192893243392,0,0,0,,
1027998786143100929,0,0,0,,
1027997730042519554,1,0,0,,
1027984043558752257,1,0,0,,
1027983334801113088,1,0,0,,
1027982647048523777,1,0,0,,
1027982292818505734,1,0,0,,
1027974065976487936,0,0,0,,
1027972707768590336,1,1,0,,
1027963329329946624,1,0,0,,
1027952935643357185,1,0,0,,
1027951647056650240,1,1,0,,
1027948731910553600,1,0,0,,
1027947992811073544,1,0,0,,
1027945263346921472,1,0,0,,
1027944841500655621,1,0,0,,
1027941878619103233,1,1,0,,
1027941705788661760,1,1,0,,
1148339000819757056,1,1,0,,
1148337777739751425,1,0,0,,
1148334019966316545,1,0,0,,
1148323823579779078,1,0,0,,
1148319179176644608,1,1,1,,
1148318527755038722,1,0,0,,
1148310839046356997,1,0,0,,
1148299545933176832,1,0,0,,
1148297753518379009,1,0,0,,
1148280423027552258,1,0,0,,
1148268260774809600,1,0,0,,
1148258235624972288,1,0,0,,
1148233448563384321,1,1,0,,
1148228025349283842,1,1,1,,
1148221404032196608,0,1,1,,
1148220213055221760,0,0,0,,
1148219081041932288,0,0,0,,
1148218270417182724,0,0,0,,
1148217085341794304,0,0,0,,
1148194425321000961,1,0,0,,
1148188570018033664,1,0,0,,
1148182775901634561,1,0,0,,
1148182594732908544,1,0,0,,
1148176644454191105,1,0,0,,
1148155695642157057,0,0,0,,
1148151019097993216,1,0,0,,
1148147817703194624,0,0,0,,
1148141876035428352,1,1,1,,
1148139969023811585,1,1,1,,
1148139200363057152,1,1,1,,
1148137181254488064,1,1,0,,
1148134785304473600,0,0,0,,
1148125307909681152,0,0,0,,
1148114486404046849,1,0,0,,
1148109895188848641,1,0,0,,
1148103278800134145,1,0,0,,
1148101040664973312,0,0,0,,
1148033085163868160,1,0,0,,
1148002567399575553,1,0,0,,
1147996419451772929,1,0,0,,
1147970688130703360,1,0,0,,
1147964262683422724,1,0,0,,
1147957462068322305,1,0,0,,
1147934131155808258,1,0,0,,
1147928855551676416,1,0,0,,
1147923915546796032,1,0,0,,
1147911127797522432,0,0,0,,
1147907605379108865,1,1,0,,
1147901274047832066,1,0,0,,
1147896337930883072,1,0,0,,
1147889387809771520,1,0,0,,
1147879087706447872,1,0,0,,
1147875410165846016,1,0,0,,
1147847755613835265,0,0,0,,
1147843996745682945,1,1,0,,
1147840124270587905,1,0,0,,
1147836881163476993,1,0,0,,
1147818869672808451,1,0,0,,
1147816419775647744,1,0,0,,
1147807556422787072,1,1,0,,
1147792133862174720,0,0,0,,
1147784818920263680,1,1,0,,
1147777264920289282,1,0,0,,
1147776285449568256,0,0,0,,
1147774029241167872,0,0,0,,
1147752248333799424,1,0,0,,
1147746846112014336,0,1,1,,
1147730936114667521,0,0,0,,
1147730687547662336,0,0,0,,
1147712256349786112,1,0,0,,
1147686680616415233,1,0,0,,
639213837615525888,0,1,0,0
639196804697993216,0,0,0,0
639196590587146240,0,0,0,0
639182074990211074,1,0,0,0
639177570349658113,1,0,0,0
639173909951172608,1,0,0,0
639163061635522560,0,0,0,0
